InvoiceNo,CustomerID,Date,SubTotal,BasketSize
489726,17949.0,2009-12-02 11:07:00,750.0,200
489727,17949.0,2009-12-02 11:09:00,900.0,450
489728,14799.0,2009-12-02 11:18:00,180.45,349
489733,15311.0,2009-12-02 11:20:00,168.0,48
489743,16550.0,2009-12-02 11:24:00,538.77,320
489748,12980.0,2009-12-02 11:26:00,754.2,84
489764,14425.0,2009-12-02 11:31:00,223.1,82
489765,15353.0,2009-12-02 11:33:00,285.59,91
489766,17818.0,2009-12-02 11:34:00,130.18,90
489780,13654.0,2009-12-02 11:43:00,159.98000000000002,90
489782,17189.0,2009-12-02 11:45:00,230.46,148
489783,13269.0,2009-12-02 11:47:00,162.04,152
489784,13269.0,2009-12-02 11:48:00,40.8,48
489785,14653.0,2009-12-02 11:51:00,333.67,250
489786,17019.0,2009-12-02 11:52:00,216.86,199
489787,15542.0,2009-12-02 11:53:00,319.54,127
489788,13564.0,2009-12-02 11:55:00,119.16,38
489789,15833.0,2009-12-02 11:59:00,80.4,24
489790,16467.0,2009-12-02 11:59:00,131.12,88
489791,15542.0,2009-12-02 12:06:00,221.19,90
489792,14527.0,2009-12-02 12:06:00,923.79,165
489793,17476.0,2009-12-02 12:09:00,260.36,124
489794,15287.0,2009-12-02 12:13:00,58.2,55
489795,14440.0,2009-12-02 12:13:00,935.01,287
489796,15680.0,2009-12-02 12:15:00,311.5,268
489797,15581.0,2009-12-02 12:19:00,200.63,142
489798,13740.0,2009-12-02 12:22:00,311.69,97
489800,17768.0,2009-12-02 12:26:00,408.07,532
489801,12948.0,2009-12-02 12:28:00,128.48000000000002,144
489802,15581.0,2009-12-02 12:32:00,174.52,156
489804,14667.0,2009-12-02 12:38:00,251.17000000000002,185
489805,17377.0,2009-12-02 12:39:00,454.35,227
489807,15581.0,2009-12-02 12:43:00,180.13,241
489808,14467.0,2009-12-02 12:44:00,109.84,82
489809,13457.0,2009-12-02 12:46:00,112.5,68
489810,18108.0,2009-12-02 12:47:00,493.25,165
489811,16210.0,2009-12-02 12:54:00,634.29,515
489812,17377.0,2009-12-02 13:00:00,597.6899999999999,85
489814,14669.0,2009-12-02 13:06:00,824.1800000000001,506
489815,17909.0,2009-12-02 13:10:00,132.55,41
489816,16086.0,2009-12-02 13:20:00,284.55,258
489817,16711.0,2009-12-02 13:22:00,340.2,132
489818,16233.0,2009-12-02 13:23:00,294.3,102
489819,14739.0,2009-12-02 13:23:00,618.4300000000001,465
489822,14204.0,2009-12-02 13:26:00,371.27000000000004,103
489823,17606.0,2009-12-02 13:32:00,87.30000000000001,42
489824,16797.0,2009-12-02 13:33:00,176.88,127
489825,16126.0,2009-12-02 13:34:00,174.1,106
489826,17867.0,2009-12-02 13:39:00,85.95,17
489827,17412.0,2009-12-02 13:51:00,445.7,382
489829,16525.0,2009-12-02 13:53:00,472.47,237
489830,13623.0,2009-12-02 13:57:00,637.04,242
489831,12435.0,2009-12-02 13:58:00,1008.0,480
489832,14549.0,2009-12-02 14:06:00,316.22,122
489833,14980.0,2009-12-02 14:09:00,150.68,79
489834,14106.0,2009-12-02 14:09:00,214.79999999999998,24
489835,15061.0,2009-12-02 14:15:00,714.0,280
489837,14396.0,2009-12-02 14:21:00,514.97,274
489840,14122.0,2009-12-02 14:22:00,89.69999999999999,6
489855,16987.0,2009-12-02 14:34:00,157.91,56
489862,17809.0,2009-12-02 14:52:00,734.7,150
489863,15917.0,2009-12-02 14:55:00,66.82,21
489864,14987.0,2009-12-02 14:56:00,206.85,79
489865,14080.0,2009-12-02 15:01:00,234.87,53
489866,16200.0,2009-12-02 15:04:00,1003.83,587
489868,15794.0,2009-12-02 15:10:00,675.0,248
489869,16200.0,2009-12-02 15:15:00,39.980000000000004,27
489870,15523.0,2009-12-02 15:16:00,162.1,118
489871,15523.0,2009-12-02 15:17:00,735.7,274
489872,15615.0,2009-12-02 15:28:00,632.9,320
489873,15615.0,2009-12-02 15:29:00,10.2,12
489874,18001.0,2009-12-02 15:38:00,176.6,144
489875,17841.0,2009-12-02 15:41:00,530.76,219
489876,15917.0,2009-12-02 15:44:00,39.85,22
489877,13089.0,2009-12-02 15:44:00,368.1,162
489878,15989.0,2009-12-02 15:51:00,143.11,56
489879,17660.0,2009-12-02 16:02:00,163.47,138
489880,13313.0,2009-12-02 16:18:00,380.28000000000003,552
489883,12437.0,2009-12-02 16:24:00,578.28,263
489884,13313.0,2009-12-02 16:24:00,3.61,19
489888,14841.0,2009-12-02 16:49:00,597.4,660
489889,14646.0,2009-12-02 16:52:00,4734.24,3200
489890,14646.0,2009-12-02 16:53:00,976.8,592
489891,15482.0,2009-12-02 16:59:00,181.08,144
489893,16156.0,2009-12-02 17:06:00,300.1,98
489894,17716.0,2009-12-02 17:18:00,520.2,396
489895,12779.0,2009-12-03 07:25:00,371.82,266
489896,13611.0,2009-12-03 07:57:00,337.93,227
489897,15255.0,2009-12-03 09:10:00,260.44,176
489900,14771.0,2009-12-03 09:44:00,287.37,253
489902,14838.0,2009-12-03 09:52:00,119.10000000000001,18
489904,13979.0,2009-12-03 10:02:00,203.78,150
489905,13800.0,2009-12-03 10:03:00,478.7,242
489906,14483.0,2009-12-03 10:16:00,120.0,96
489907,14915.0,2009-12-03 10:17:00,202.06,104
489908,16301.0,2009-12-03 10:20:00,107.33,41
489909,13753.0,2009-12-03 10:20:00,642.2,428
489910,15482.0,2009-12-03 10:23:00,144.0,288
489912,13931.0,2009-12-03 10:26:00,1146.1000000000001,578
489913,13931.0,2009-12-03 10:28:00,69.6,16
489914,12921.0,2009-12-03 10:28:00,993.0,508
489915,17035.0,2009-12-03 10:37:00,54.599999999999994,36
489916,15194.0,2009-12-03 10:37:00,336.0,212
489932,14347.0,2009-12-03 10:49:00,82.6,48
489935,12934.0,2009-12-03 10:51:00,181.65,31
489994,15291.0,2009-12-03 11:09:00,430.9,142
489996,17209.0,2009-12-03 11:10:00,320.40000000000003,514
489998,15658.0,2009-12-03 11:19:00,321.65,95
489999,17314.0,2009-12-03 11:25:00,154.2,72
490000,17155.0,2009-12-03 11:34:00,143.06,89
490001,15965.0,2009-12-03 11:45:00,169.5,94
490002,17322.0,2009-12-03 11:46:00,114.55,115
490003,16159.0,2009-12-03 11:51:00,317.55,163
490004,14051.0,2009-12-03 11:53:00,912.5600000000001,224
490005,13993.0,2009-12-03 11:57:00,556.75,203
490006,17411.0,2009-12-03 12:02:00,344.40000000000003,150
490008,15768.0,2009-12-03 12:10:00,503.93,257
490009,12835.0,2009-12-03 12:13:00,285.09,100
490010,15061.0,2009-12-03 12:15:00,1008.0,480
490011,16918.0,2009-12-03 12:27:00,221.69,138
490012,15179.0,2009-12-03 12:27:00,763.35,339
490013,17069.0,2009-12-03 12:27:00,500.55,395
490014,15466.0,2009-12-03 12:28:00,744.21,407
490017,14159.0,2009-12-03 12:31:00,393.65,267
490018,17940.0,2009-12-03 12:31:00,4380.0,17520
490019,17581.0,2009-12-03 12:34:00,308.6,116
490020,17581.0,2009-12-03 12:36:00,37.8,14
490021,17581.0,2009-12-03 12:36:00,10.2,12
490022,17581.0,2009-12-03 12:37:00,45.60000000000001,24
490023,16168.0,2009-12-03 12:38:00,189.15,49
490024,14606.0,2009-12-03 12:40:00,215.0,121
490034,17287.0,2009-12-03 12:45:00,69.82,30
490045,17287.0,2009-12-03 12:50:00,180.39,109
490046,13416.0,2009-12-03 13:02:00,228.3,66
490047,17913.0,2009-12-03 13:02:00,263.85,131
490048,16779.0,2009-12-03 13:03:00,1146.71,681
490049,15794.0,2009-12-03 13:04:00,102.0,40
490050,17913.0,2009-12-03 13:05:00,13.5,2
490052,13895.0,2009-12-03 13:09:00,831.0,408
490053,14057.0,2009-12-03 13:17:00,119.54,101
490054,17017.0,2009-12-03 13:22:00,277.5,186
490056,13208.0,2009-12-03 13:25:00,61.12,56
490057,17465.0,2009-12-03 13:25:00,360.52,184
490058,17465.0,2009-12-03 13:26:00,47.85,27
490059,18102.0,2009-12-03 13:30:00,14475.0,4825
490060,13468.0,2009-12-03 13:32:00,314.22,148
490061,18102.0,2009-12-03 13:42:00,4000.0,2000
490062,13485.0,2009-12-03 13:46:00,165.3,86
490063,17271.0,2009-12-03 13:49:00,210.39,117
490064,16139.0,2009-12-03 13:51:00,355.59000000000003,215
490065,15061.0,2009-12-03 13:58:00,1260.0,600
490066,15953.0,2009-12-03 14:00:00,372.2,212
490067,15856.0,2009-12-03 14:02:00,952.61,412
490068,13085.0,2009-12-03 14:06:00,284.3,90
490069,13085.0,2009-12-03 14:07:00,161.39999999999998,60
490070,14967.0,2009-12-03 14:07:00,236.25,68
490071,16497.0,2009-12-03 14:11:00,294.85,111
490072,17764.0,2009-12-03 14:28:00,194.65,71
490073,14905.0,2009-12-03 14:36:00,258.1,172
490075,18229.0,2009-12-03 14:42:00,381.0,84
490077,17293.0,2009-12-03 15:09:00,115.50999999999999,65
490078,17853.0,2009-12-03 15:09:00,584.35,159
490079,15550.0,2009-12-03 15:15:00,160.35,85
490080,13531.0,2009-12-03 15:20:00,311.7,126
490081,13786.0,2009-12-03 15:32:00,723.09,323
490082,14952.0,2009-12-03 15:34:00,337.9,262
490083,14031.0,2009-12-03 15:35:00,2506.14,1132
490085,12937.0,2009-12-03 15:43:00,170.06,108
490086,17949.0,2009-12-03 15:48:00,799.2,432
490087,15601.0,2009-12-03 15:49:00,898.1800000000001,668
490088,15581.0,2009-12-03 15:50:00,17.0,2
490089,17949.0,2009-12-03 15:52:00,466.20000000000005,252
490090,15581.0,2009-12-03 15:53:00,45.55,25
490091,17949.0,2009-12-03 15:54:00,636.0,600
490092,16612.0,2009-12-03 15:54:00,510.87,297
490093,12949.0,2009-12-03 15:56:00,1794.7,896
490094,17949.0,2009-12-03 15:56:00,851.76,504
490095,14958.0,2009-12-03 16:02:00,186.36,54
490097,17329.0,2009-12-03 16:09:00,279.42,146
490099,16736.0,2009-12-03 16:12:00,1225.98,526
490100,13001.0,2009-12-03 16:21:00,869.9300000000001,403
490101,14644.0,2009-12-03 16:24:00,338.5,150
490106,14898.0,2009-12-03 16:40:00,314.37,275
490107,14662.0,2009-12-03 16:47:00,110.69999999999999,30
490108,17414.0,2009-12-03 16:49:00,239.68,444
490109,14755.0,2009-12-03 16:51:00,415.0,204
490110,14755.0,2009-12-03 16:52:00,30.15,13
490111,17576.0,2009-12-03 16:54:00,321.21000000000004,221
490112,13037.0,2009-12-03 17:04:00,313.19,161
490113,14710.0,2009-12-03 17:12:00,39.2,16
490114,18168.0,2009-12-03 17:29:00,257.62,160
490115,17679.0,2009-12-03 17:32:00,342.6,316
490116,17679.0,2009-12-03 17:33:00,122.39999999999999,48
490118,17851.0,2009-12-03 17:46:00,317.04,151
490119,12931.0,2009-12-03 17:48:00,108.75,75
490121,14750.0,2009-12-03 17:57:00,112.03,65
490124,16791.0,2009-12-03 18:08:00,319.87,107
490125,16558.0,2009-12-03 18:11:00,297.05,109
490127,14156.0,2009-12-03 18:13:00,569.1800000000001,203
490128,15884.0,2009-12-03 18:23:00,241.8,156
490132,17343.0,2009-12-03 18:30:00,197.3,89
490134,17372.0,2009-12-03 18:41:00,151.65,59
490135,16003.0,2009-12-03 18:51:00,387.87,127
490136,17432.0,2009-12-03 19:13:00,174.85,71
490137,14713.0,2009-12-03 19:22:00,160.69,104
490138,16722.0,2009-12-03 19:23:00,339.78,198
490139,12577.0,2009-12-03 19:31:00,210.55,79
490140,12872.0,2009-12-03 20:03:00,407.22,227
490141,15755.0,2009-12-04 08:24:00,308.75,158
490142,14258.0,2009-12-04 08:36:00,1261.0,356
490143,14286.0,2009-12-04 08:40:00,1610.52,1687
490144,13154.0,2009-12-04 08:46:00,337.1,152
490145,14564.0,2009-12-04 09:27:00,989.18,439
490147,13408.0,2009-12-04 09:31:00,510.64,472
490151,16645.0,2009-12-04 09:49:00,160.39,117
490152,12714.0,2009-12-04 10:00:00,682.65,238
490154,16335.0,2009-12-04 10:18:00,290.48,111
490156,13093.0,2009-12-04 10:32:00,455.36,262
490157,16736.0,2009-12-04 10:39:00,138.0,40
490158,12759.0,2009-12-04 10:47:00,508.26,281
490159,13666.0,2009-12-04 10:48:00,19.5,2
490160,13777.0,2009-12-04 10:52:00,244.79999999999998,96
490161,17160.0,2009-12-04 10:57:00,825.94,653
490162,13946.0,2009-12-04 11:07:00,280.2,206
490163,14723.0,2009-12-04 11:22:00,141.63,115
490164,14961.0,2009-12-04 11:32:00,1058.4,632
490166,14735.0,2009-12-04 11:32:00,371.85,175
490167,18061.0,2009-12-04 11:36:00,312.21,241
490171,15581.0,2009-12-04 11:54:00,29.28,32
490202,15078.0,2009-12-04 12:03:00,410.0,188
490209,17389.0,2009-12-04 12:06:00,908.0400000000001,484
490212,16883.0,2009-12-04 12:07:00,108.95,41
490214,13175.0,2009-12-04 12:11:00,319.15,201
490218,17076.0,2009-12-04 12:12:00,67.67999999999999,48
490219,13948.0,2009-12-04 12:14:00,155.65,63
490229,18223.0,2009-12-04 12:20:00,1185.16,713
490247,16192.0,2009-12-04 12:28:00,351.3,208
490258,15999.0,2009-12-04 12:31:00,20.4,24
490266,15109.0,2009-12-04 12:33:00,231.2,50
490272,14680.0,2009-12-04 12:36:00,521.38,273
490277,18092.0,2009-12-04 12:37:00,1077.6,600
490279,16891.0,2009-12-04 12:37:00,317.83,164
490281,13481.0,2009-12-04 12:37:00,311.2,148
490282,13807.0,2009-12-04 12:41:00,107.95,43
490284,14979.0,2009-12-04 12:54:00,439.46,213
490285,16656.0,2009-12-04 12:59:00,373.74,210
490286,14527.0,2009-12-04 12:59:00,762.1,147
490287,16746.0,2009-12-04 13:00:00,367.1,218
490288,17157.0,2009-12-04 13:00:00,332.16,112
490289,15309.0,2009-12-04 13:01:00,273.75,143
490290,16325.0,2009-12-04 13:21:00,164.03,85
490291,16541.0,2009-12-04 13:22:00,424.03,173
490292,16723.0,2009-12-04 13:23:00,460.55,157
490293,16699.0,2009-12-04 13:31:00,137.4,130
490294,16710.0,2009-12-04 13:41:00,378.96,298
490295,12510.0,2009-12-04 13:47:00,435.88,504
490297,13162.0,2009-12-04 13:59:00,694.2,328
490298,15382.0,2009-12-04 14:13:00,1523.2,954
490299,13680.0,2009-12-04 14:14:00,621.22,193
490300,12970.0,2009-12-04 14:19:00,260.64,189
490301,15311.0,2009-12-04 14:24:00,345.27,93
490302,17841.0,2009-12-04 14:29:00,303.62,128
490303,17935.0,2009-12-04 14:33:00,106.25,55
490304,17593.0,2009-12-04 14:35:00,843.01,339
490305,17243.0,2009-12-04 14:37:00,726.57,289
490308,12835.0,2009-12-04 14:52:00,194.53,85
490310,17151.0,2009-12-04 14:56:00,231.90000000000003,42
490311,16451.0,2009-12-04 15:11:00,307.65000000000003,201
490312,17961.0,2009-12-04 15:16:00,326.13,352
490313,17127.0,2009-12-04 15:18:00,137.95,49
490320,13694.0,2009-12-04 15:26:00,867.89,1327
490323,14087.0,2009-12-04 15:27:00,236.69,201
490324,13694.0,2009-12-04 15:27:00,672.0,320
490326,13733.0,2009-12-04 15:28:00,149.10000000000002,62
490327,13694.0,2009-12-04 15:29:00,990.0,600
490331,18181.0,2009-12-04 15:30:00,298.99,115
490340,13174.0,2009-12-04 15:40:00,630.39,363
490341,13329.0,2009-12-04 15:41:00,334.65,270
490342,17421.0,2009-12-04 15:43:00,130.8,96
490346,16351.0,2009-12-04 16:12:00,216.6,156
490347,15684.0,2009-12-04 16:13:00,109.4,68
490349,17884.0,2009-12-04 16:23:00,32.25,9
490353,15514.0,2009-12-04 16:37:00,532.28,445
490355,13093.0,2009-12-04 16:39:00,538.1099999999999,287
490356,17884.0,2009-12-04 16:45:00,117.13000000000001,103
490359,18225.0,2009-12-04 16:52:00,59.5,10
490360,13679.0,2009-12-04 16:52:00,126.8,34
490362,12748.0,2009-12-04 17:31:00,220.9,203
490363,13199.0,2009-12-05 10:11:00,138.24,192
490364,13487.0,2009-12-05 10:25:00,103.95,25
490365,17018.0,2009-12-05 10:27:00,351.6,120
490366,18071.0,2009-12-05 10:31:00,227.25,147
490367,16593.0,2009-12-05 10:44:00,79.6,8
490368,14238.0,2009-12-05 10:58:00,159.1,18
490369,15223.0,2009-12-05 11:19:00,230.2,44
490370,17593.0,2009-12-05 12:01:00,452.95,177
490371,13021.0,2009-12-05 12:02:00,233.70999999999998,185
490372,17115.0,2009-12-05 12:13:00,434.15,95
490373,17850.0,2009-12-05 12:28:00,502.54,146
490374,14239.0,2009-12-05 12:36:00,136.75,65
490375,13999.0,2009-12-05 12:42:00,350.55,185
490376,13958.0,2009-12-05 13:12:00,796.5500000000001,389
490377,13958.0,2009-12-05 13:13:00,15.0,12
490378,13641.0,2009-12-05 13:17:00,224.1,134
490380,17850.0,2009-12-05 13:26:00,478.74,142
490381,15420.0,2009-12-05 13:29:00,97.11,141
490382,12359.0,2009-12-05 13:32:00,760.69,397
490383,12820.0,2009-12-05 13:37:00,148.3,50
490385,16410.0,2009-12-05 14:51:00,130.32,348
490386,15240.0,2009-12-05 14:57:00,549.77,473
490387,17850.0,2009-12-05 14:59:00,450.84000000000003,130
490388,16158.0,2009-12-05 15:00:00,146.62,84
490389,15484.0,2009-12-05 15:18:00,689.5,611
490390,14709.0,2009-12-05 15:26:00,256.2,104
490391,15057.0,2009-12-05 15:27:00,304.1,100
490392,14867.0,2009-12-05 15:47:00,203.32,56
490393,17642.0,2009-12-05 16:01:00,281.02,281
490394,17850.0,2009-12-05 16:01:00,870.2800000000001,260
490395,13813.0,2009-12-06 10:16:00,283.15,167
490396,13589.0,2009-12-06 10:26:00,269.15,77
490397,12417.0,2009-12-06 10:30:00,309.1,142
490398,17920.0,2009-12-06 10:37:00,567.71,236
490399,12975.0,2009-12-06 10:38:00,441.63,115
490400,16104.0,2009-12-06 10:41:00,689.9,183
490401,17150.0,2009-12-06 10:51:00,139.25,49
490403,17920.0,2009-12-06 11:13:00,316.74,150
490404,16277.0,2009-12-06 11:27:00,188.69,33
490405,17244.0,2009-12-06 11:27:00,260.65,57
490408,17850.0,2009-12-06 11:33:00,413.44,128
490430,15260.0,2009-12-06 11:45:00,253.55,83
490458,12583.0,2009-12-06 11:57:00,817.4399999999999,388
490459,15555.0,2009-12-06 11:58:00,950.69,416
490461,13736.0,2009-12-06 12:07:00,720.79,381
490463,14133.0,2009-12-06 12:10:00,305.5,50
490464,15571.0,2009-12-06 12:10:00,118.25999999999999,43
490465,13448.0,2009-12-06 12:14:00,933.35,478
490466,17085.0,2009-12-06 12:16:00,183.6,79
490467,15059.0,2009-12-06 12:17:00,280.94,169
490468,14468.0,2009-12-06 12:21:00,204.24,164
490470,16395.0,2009-12-06 12:26:00,242.96,166
490471,15878.0,2009-12-06 12:28:00,212.13,71
490472,16485.0,2009-12-06 12:28:00,619.24,340
490473,15860.0,2009-12-06 12:31:00,204.65,185
490474,13373.0,2009-12-06 12:34:00,748.42,336
490476,14608.0,2009-12-06 12:34:00,211.62,98
490477,17850.0,2009-12-06 12:41:00,533.14,158
490478,14896.0,2009-12-06 12:42:00,302.5,129
490479,16779.0,2009-12-06 12:42:00,1450.2,778
490481,16964.0,2009-12-06 12:51:00,21.25,5
490482,15983.0,2009-12-06 12:52:00,289.3,147
490483,13782.0,2009-12-06 12:52:00,132.4,28
490484,16964.0,2009-12-06 12:53:00,186.6,44
490485,14454.0,2009-12-06 12:56:00,125.94,63
490486,16779.0,2009-12-06 13:00:00,90.0,72
490487,14717.0,2009-12-06 13:05:00,81.3,32
490488,16718.0,2009-12-06 13:07:00,647.82,503
490489,15751.0,2009-12-06 13:08:00,266.19,87
490490,14546.0,2009-12-06 13:10:00,547.73,313
490491,17848.0,2009-12-06 13:19:00,175.20000000000002,85
490493,15751.0,2009-12-06 13:21:00,12.75,3
490494,17561.0,2009-12-06 13:29:00,192.26999999999998,85
490496,15547.0,2009-12-06 13:40:00,671.56,336
490499,17406.0,2009-12-06 13:45:00,406.70000000000005,356
490500,14479.0,2009-12-06 13:48:00,355.13,188
490501,16710.0,2009-12-06 13:49:00,285.64,424
490502,17969.0,2009-12-06 13:53:00,101.4,26
490503,14548.0,2009-12-06 14:00:00,582.12,241
490504,15311.0,2009-12-06 14:03:00,391.92,95
490505,14548.0,2009-12-06 14:06:00,98.16,34
490506,17916.0,2009-12-06 14:10:00,25.46,47
490508,17850.0,2009-12-06 14:14:00,450.84000000000003,130
490511,13319.0,2009-12-06 14:46:00,626.6,208
490512,14606.0,2009-12-06 14:54:00,235.13,85
490514,16773.0,2009-12-06 15:01:00,137.75,47
490515,15479.0,2009-12-06 15:08:00,147.4,38
490516,17850.0,2009-12-06 15:09:00,504.54,146
490518,15822.0,2009-12-06 15:12:00,474.32,290
490519,13890.0,2009-12-06 15:15:00,213.65,89
490521,13211.0,2009-12-06 15:24:00,235.84,102
490522,15641.0,2009-12-06 15:31:00,150.4,56
490524,14123.0,2009-12-06 15:35:00,436.18,234
490525,13019.0,2009-12-06 15:40:00,255.00000000000003,92
